"korean","chinese","english","gender"
"이소연 (배우)","李昭娟","Lee So-yeon (actress)",""
"이수만","李秀满","Lee Soo-man",""
"이기붕","李起鹏","Lee Ki-poong",""
"임소영","林素英","",""
"유인영","柳仁英","Yoo In-young",""
"연개소문 (드라마)","渊盖苏文 (电视剧)","Yeon Gaesomun (TV series)",""
"배승희 (배드민턴 선수)","裴升熙","Bae Seung-hee",""
"배영수","裴英洙","Bae Young-soo",""
"조복래","赵福来","Jo Bok-rae",""
"정재성 (배드민턴 선수)","郑在成","Jung Jae-sung",""
"김강우","金刚于","Kim Kang-woo",""
"김용수 (연출가)","金容秀","",""
"김경훈 (태권도 선수)","金景勋","Kim Kyong-hun",""
"김기택 (탁구 선수)","金琦泽","Kim Ki-taik",""
"대한민국 국회의장","韩国国会议长","Speaker of the National Assembly (South Korea)",""
"한승수","韩升洙","Han Seung-soo",""
"블랙아이드필승","黑眼必胜","Black Eyed Pilseung",""
"유정복","刘正福","Yoo Jeong-bok",""
"강영훈 (1922년)","姜英勋","Kang Young-hoon",""
"송종호 (사격 선수)","宋宗镐","Song Jong-ho (sport shooter)",""
"송호성","宋虎声","",""
"윤종빈 (배우)","尹钟彬 (韩国演员)","Oh Gi-gwang",""
"소원 윤씨","废昭媛尹氏","",""
"장률 (배우)","张栗","Chang Ryul",""
"조민선","曹敏仙","Cho Min-sun",""
"박헌영","朴宪永","Pak Hon-yong",""
"박연차","朴渊次","",""
"이세희 (배우)","李世熙","Lee Se-hee",""
"이다인 (1992년)","李多寅 (演员)","Lee Da-in (actress, born 1992)",""
"이한나","李寒娜","",""
"이서원","李曙原","Lee Seo-won",""
"이동건","李东健","Lee Dong-gun",""
"양희은","杨姬银","Yang Hee-eun",""
"솔비","权志晏","Solbi",""
"하태균","河太均","Ha Tae-goon",""
"현기영","玄基荣","Hyun Ki-young",""
"신세희","申洗晞","",""
"계축일기","癸丑日记","",""
"피천득","皮千得","Pi Chun-deuk",""
"맨투맨 (드라마)","秘行要员","Man to Man (TV series)",""
"허조","许稠","",""
"조재완 (축구 선수)","赵在玩","Cho Jae-wan",""
"조광일 (래퍼)","赵广一","Jo Gwang-il",""
"차규헌","车圭宪","",""
"정길옥","郑吉玉","Jung Gil-ok",""
"정성일 (1980년)","郑星一","Jung Sung-il (actor)",""
"정다은 (1994년)","郑多恩","Jung Da-eun",""
"정춘숙","郑春淑","Jung Choun-sook",""
"김동주 (야구인)","金东柱","Kim Dong-joo",""
"인성 (가수)","金仁性","",""
"김철웅 (피아노 연주자)","金哲雄","Kim Cheol-woong",""
"김우빈","金宇彬","Kim Woo-bin",""
"김우석 (1994년)","金宇锡 (1994年)","Kim Woo-seok (actor)",""
"김노진","金诺珍","",""
"김소원 (1995년)","金韶情","Kim So-won",""
"민효린","闵孝琳","Min Hyo-rin",""
"한정수","韩政秀","Han Jung-soo",""
"고지용","高志镕","Ko Ji-yong",""
"황현","黄玹 (朝鲜)","",""
"일급비밀 (음악 그룹)","TST (组合)","TST (band)",""
"이토 히로부미","伊藤博文","Itō Hirobumi",""
"원빈","元斌","Won Bin",""
"구재이","具在伊","Goo Jae-yee",""
"신위 (가수)","周心语","Xinyu (singer)",""
"송석준","宋锡俊","",""
"윤은혜","尹恩惠","Yoon Eun-hye",""
"킹덤 (2019년 드라마)","尸战朝鲜","Kingdom (South Korean TV series)",""
"최호 (1536년)","崔湖","",""
"신창재","慎昌宰","Shin Chang-jae",""
"시현 (1999년)","施贤","Kim Si-hyeon",""
"주현영","朱贤英","Joo Hyun-young",""
"박주성 (축구인)","朴住成","Park Ju-sung",""
"박흥주","朴兴柱","",""
"박은진 (배구 선수)","朴恩真","Park Eun-jin",""
"박지원 (쇼트트랙 선수)","朴智元 (短道速滑运动员)","Park Ji-won (speed skater)",""
"주은 (가수)","李主恩","Lee Ju-eun",""
"이원익","李元翼","",""
"이연 (배우)","李妍 (1995年)","Lee Yeon",""
"이민지 (1988년)","李敏芝","Lee Min-ji (actress, born 1988)",""
"이서연 (2003년)","李书妍","",""
"이민정","李珉廷","Lee Min-jung",""
"임요환","林遥焕","Lim Yo-hwan",""
"류희운","柳熙云","Ryu Hee-woon",""
"양금희","梁琴喜","",""
"심신","沈信 (韩国歌手)","",""
"전광환","田广焕","Jeon Kwang-hwan",""
"백선엽","白善烨","Paik Sun-yup",""
"조선진","赵善津","Cho Son-jin",""
"차웅기","车雄基","Cha Woong-ki",""
"곽선영","郭善英","Kwak Sun-young",""
"김윤철 (연출가)","金允哲","",""
"김대건","金大建","Andrew Kim Taegon",""
"김대우 (1988년)","金大祐","",""
"김충선","金忠善","Kim Ch'ungsŏn",""
"김두현 (축구인)","金斗炫","Kim Do-heon",""
"김동현 (격투기 선수)","金东炫","Dong Hyun Kim",""
"황희 (배우)","黄熙 (演员)","Hwang Hee",""
"어라운드어스 엔터테인먼트","Around US娱乐","Around Us Entertainment",""
"매일 봐요","Everyday (MAMAMOO单曲)","",""
"NRG (음악 그룹)","NRG (团体)","NRG (South Korean band)",""
"윤혜영 (양궁 선수)","允惠英","Yoon Hye-young",""
"롯폰기 클라쓰","六本木Class","Roppongi Class",""
"압바꾸모바 예카테리나","叶卡捷琳娜·阿瓦库莫娃","Ekaterina Avvakumova",""
"오원빈","吴元斌","",""
"오민석","吴珉锡","Oh Min-suk",""
"공효진","孔晓振","Gong Hyo-jin",""
"공예지","孔芮智","",""
"손수민","孙秀旼","",""
"7365 세종","小行星7365","7365 Sejong",""
"윤임","尹任","Yun Im",""
"윤지성","尹智圣","Yoon Ji-sung",""
"윤주태","尹柱泰","Yun Ju-tae",""
"최지만","崔志万","Ji-man Choi",""
"최명길 (1586년)","崔鸣吉","Ch'oe Myŏnggil",""
"박원국","朴元国","",""
"박재찬","朴宰灿","Park Jae-chan",""
"박상훈 (연출가)","朴尚勋","",""
"박지아 (1972년)","朴志雅","Park Ji-ah (actress, born 1972)",""
"박동선 (1935년)","朴东宣","Tongsun Park",""
"이제훈","李帝勋","Lee Je-hoon",""
"이승호 (1981년)","李承浩","Lee Seung-ho (baseball, born 1981)",""
"이정문 (1973년)","李桢文","",""
"이한기","李汉基","",""
"이제마","李济马","Yi Je-ma",""
"이영아 (배우)","李英雅","Lee Young-ah",""
"이재윤 (배우)","李载允","Lee Jae-yoon",""
"이운산","李云山","",""
"낙선군","乐善君","",""
"오렌지캬라멜","橙子焦糖","Orange Caramel",""
"가타오카 가즈노리","片冈一则","",""
"허종식","许琮植","",""
"조윤경 (치어리더)","赵云泾","",""
"김주원 (2002년)","金周元","Kim Ju-won (baseball)",""
"김민종","金旻钟","Kim Min-jong",""
"김태연 (2011년)","金泰妍 (2011年)","",""
"김형욱","金炯旭","Kim Hyong-uk",""
"김하늘","金荷娜","Kim Ha-neul",""
"틀:김완선","Template:金完宣","",""
"틀:서울특별시장","Template:首尔特别市长","Template:Mayors of Seoul",""
"연인 3부작","SBS恋人系列","",""
"투모로우바이투게더의 음반 목록","TXT音乐作品列表","Tomorrow X Together discography",""
"전소민","全昭旻","Jeon So-min",""
"유희제","刘熙侪","",""
"규현","圭贤","Cho Kyu-hyun",""
"윤진욱","尹振旭","",""
"윤일선","尹日善","Yun Il-seon",""
"윤동헌","尹东宪","Yoon Dong-hun",""
"최광수 (공무원)","崔侊洙","",""
"장종훈","张钟勋","Chang Jong-hoon",""
"서은아","徐恩雅","Seo Eun-ah",""
"서범수","徐范洙","",""
"서능욱","徐能旭","",""
"신수근","慎守勤","",""
"문숙 (배우)","文淑 (演员)","Moon Sook (actress)",""
"방우정","方禹鼎","",""
"박훈 (배우)","朴勋","Park Hoon",""
"박지영 (1969년)","朴志暎","Park Ji-young (actress)",""
"박정숙 (1970년)","朴正淑","",""
"박영지","朴英知","",""
"이상보","李尚宝","",""
"이창동","李沧东","Lee Chang-dong",""
"이황 (1497년)","李𩔇","Deposed Crown Prince Yi Hwang",""
"임지은","林志恩","Im Ji-eun",""
"임형준","林炯俊","Im Hyung-joon",""
"류승범","柳承范","Ryoo Seung-bum",""
"홍사빈","洪思彬","",""
"홍순창","洪淳昌","",""
"신동훈 (배우)","申东勋","",""
"황보 (1980년)","皇甫惠贞","Hwangbo",""
"조승연 (배우)","赵乘演","",""
"정윤채","郑尹彩","Yoonchae",""
"정난정","郑兰贞","Chŏng Nanjŏng",""
"김구","金九","Kim Ku",""
"김경진 (희극인)","金京镇","",""
"김선영 (컬링 선수)","金善英 (冰壶运动员)","Kim Seon-yeong (curler)",""
"김승유 (조선)","金承琉","",""
"김윤우","金昀佑","Kim Yoon-woo",""
"김진우 (가수)","金秦禹","Kim Jin-woo (musician)",""
"김진현 (1987년 7월 6일)","金镇铉","Kim Jin-hyeon",""
"김향기","金香起","Kim Hyang-gi",""
"한지민","韩志旼","Han Ji-min",""
"틀:울림엔터테인먼트","Template:Woollim娱乐","Template:Woollim Entertainment",""
"세종과학기지","世宗科学基地","King Sejong Station",""
"롯데 자이언츠","乐天巨人","Lotte Giants",""
"남명렬","南明烈","Nam Myeong-ryeol",""
"남지현 (1990년)","南智贤","Nam Ji-hyun (actress, born 1990)",""
"엄상백","严相伯","Um Sang-back",""
"강영석 (배우)","姜泳锡","Kang Young-seok",""
"윤휴","尹𫔔","Yun Hyu",""
"세븐 (가수)","崔东昱","Seven (South Korean singer)",""
"최나연","崔萝莲","Choi Na-yeon",""
"최종건 (1926년)","崔钟建","",""
"장경아","张京雅","",""
"장순손","张顺孙 (朝鲜)","",""
"서예지","徐睿知","Seo Yea-ji",""
"애인 있어요 (드라마)","我有爱人了","I Have a Lover",""
"이달의 소녀","本月少女","Loona",""
"이덕형 (문익공)","李德馨 (1561年)","",""
"리노 (가수)","李旻浩","Lee Know",""
"이하윤 (치어리더)","李河润","",""
"이현주 (배우)","李玹珠","Lee Hyun-joo (actress)",""
"이수진 (법조인 출신 정치인)","李秀真 (1969年)","Lee Su-jin (politician, born November 1969)",""
"양재호","梁宰豪","",""
"홍건희","洪健喜","",""
"백현진","白铉真","Baek Hyun-jin",""
"유선 (배우)","裕善","Yoo Sun",""
"배준영","裴俊英","",""
"조주빈","赵周彬","Cho Ju-bin",""
"차시원","车时元","",""
"정윤석","郑允锡","Jung Yoon-seok",""
"정찬민 (1958년)","郑灿敏","",""
"정민태","郑珉台","Chung Min-tae",""
"김재중","金在中","Kim Jae-joong",""
"김주령","金姝怜","Kim Joo-ryoung",""
"김민수 (격투기 선수)","金岷秀","Kim Min-soo (judoka)",""
"김지현 (배드민턴인)","金志炫","Kim Ji-hyun (badminton)",""
"김유나 (1998년)","金有娜","",""
"김법래","金法来","",""
"김현희","金贤姬","Kim Hyon-hui",""
"김중업","金重业","Kim Chung-up",""
"김뢰하","金雷夏","Kim Roi-ha",""
"한진희 (1949년)","韩振熙","Han Jin-hee",""
"한승연","韩升延","Han Seung-yeon",""
"여비 한씨","韩丽妃","Consort Han (Yongle)",""
"전상균","全商扦","Jeon Sang-guen",""
"남연군 분묘 도굴 사건","南延君坟墓盗掘事件","",""
"오주은","吴珠恩","",""
"유일 (1989년)","唯一 (5urprise)","Yoo Il",""
"엄수정","严秀贞","",""
"태영호","太永浩","Thae Yong-ho",""
"손민철","孙民哲","Son Min-chol",""
"송대남","宋大南","Song Dae-nam",""
"송지선","宋智善","",""
"윤세주","尹世胄","",""
"윤나무","尹那武","Yoon Na-moo",""
"최승용 (야구 선수)","崔丞镕","Choi Seung-yong (baseball)",""
"최유리 (2009년)","崔惟理","",""
"염정아","廉晶雅","Yum Jung-ah",""
"정아","廷娥","Kim Jung-ah",""
"문세림","文世琳","Se-rim Moon",""
"주세혁","朱世爀","Joo Sae-hyuk",""
"박세채","朴世采","",""
"박주영","朴主永","Park Chu-young",""
"박형진","朴亨镇","Park Hyung-jin",""
"박재정 (가수)","朴宰正","Parc Jae-jung",""
"이형선","李亨善","",""
"이희명","李熙明","",""
"이무방","李茂方","",""
"이은별","李银别","Lee Eun-byul",""
"이순자","李顺子","Lee Soon-ja",""
"송도국제도시","松岛国际都市","Songdo",""
"임수향","林秀香","Im Soo-hyang",""
"양지원 (1988년)","杨知元","Yang Ji-won (singer)",""
"지상렬","池相烈","Ji Sang-ryeol",""
"옥만호","玉满镐","",""
"추영우","秋泳愚","Choo Young-woo",""
"보나 (1995년)","苞娜","Bona (singer)",""
"조윤영 (작가)","赵允英","",""
"조원진","赵源震","Cho Won-jin",""
"조은숙","赵银淑","Jo Eun-sook",""
"옹성우","邕圣祐","Ong Seong-wu",""
"김형태 (삽화가)","金亨泰","Kim Hyung-tae (entrepreneur)",""
"김대곤 (배우)","金大坤","Kim Dae-gon (actor)",""
"김해진","金海珍","Kim Hae-jin",""
"김익훈","金益勋","Kim Ik-hun",""
"김수인 (2009년)","金秀仁","",""
"고성희","高圣熙","Ko Sung-hee",""
"제빵왕 김탁구","面包王金卓求","Bread, Love and Dreams (TV series)",""
"황희 (1967년)","黄熙 (1967年)","Hwang Hee (politician)",""
"대한민국 제13대 대통령 선거","1987年大韩民国总统选举","1987 South Korean presidential election",""
"21세기 대군부인","21世纪大君夫人","Perfect Crown",""
"이터니티 (가상 아이돌)","ETERNITY (虚拟女团)","Eternity (group)",""
"THE ALBUM (블랙핑크의 음반)","THE ALBUM (BLACKPINK专辑)","The Album (Blackpink album)",""
"유태웅","俞泰雄","",""
"남경읍","南京邑","",""
"국군기무사령부","国军机务司令部","",""
"강은탁","姜恩卓","Kang Eun-tak",""
"안해숙 (탁구 선수)","安海淑","An Hae-sook",""
"옥상달빛","屋顶月光","Rooftop Moonlight",""
"최소라","崔素拉","Sora Choi",""
"박원순","朴元淳","Park Won-soon",""
"박유천","朴有天","Park Yoo-chun",""
"이엘","李伊","Lee El",""
"이이담","李伊潭","Lee E-dam",""
"이시영 (1868년)","李始荣","Yi Si-yeong",""
"이성진 (양궁 선수)","李成震","Lee Sung-jin",""
"이상수 (탁구 선수)","李相秀","Lee Sang-su",""
"이종환 (기업인)","李钟焕 (企业家)","",""
"판문점 선언","板门店宣言","Panmunjom Declaration",""
"임정우 (야구인)","林廷宇","Lim Jung-woo (baseball)",""
"유혜인","柳慧仁","",""
"양창섭","梁敞涉","Yang Chang-seop",""
"하시은","河诗恩","",""
"홍종우","洪钟宇","Hong Jong-u",""
"신혜선","申惠善","Shin Hye-sun",""
"나현 (바둑 기사)","罗玄","",""
"변서윤","蔡书安","",""
"조민기","赵敏基","Jo Min-ki",""
"정진화 (근대5종 선수)","郑振和","Jung Jin-hwa",""
"정용화","郑容和","Jung Yong-hwa",""
"정유미 (1984년)","郑柔美","Jeong Yu-mi (actress, born 1984)",""
"김홍집","金弘集 (朝鲜)","Kim Hong-jip",""
"김정진 (배우)","金政振","",""
"김동근 (운동가)","金东根","",""
"김청태","金清泰","Kim Chung-tae (archer)",""
"김금순","金琴顺","",""
"김지수 (유도 선수)","金知秀","Kim Ji-su (judoka)",""
"김병옥 (배우)","金秉玉","Kim Byeong-ok",""
"김영식 (1959년)","金英植 (1959年)","",""
"한테라","韩泰来","Han Terra",""
"고민시","高旻示","Go Min-si",""
"틀:장릉배식록","Template:死六臣与生六臣","Template:Six martyred ministers",""
"스컬 (가수)","Skull (歌手)","Skull (singer)",""
"원기준","元基俊","Won Ki-joon",""
"천준호","千俊镐","Cheon Jun-ho",""
"남수현","南秀贤","Nam Su-hyeon",""
"오민애","吴敏爱","Oh Min-ae",""
"강백호 (야구 선수)","姜白虎","Kang Baek-ho",""
"안은진 (1997년)","安恩真 (1997年)","",""
"송일국","宋一国","Song Il-kook",""
"송유빈","宋有彬","Song Yuvin",""
"윤석열 대통령 탄핵","尹锡悦弹劾案","Impeachment of Yoon Suk Yeol",""
"최동훈 (영화 감독)","崔东勋","Choi Dong-hoon",""
"장용호","张龙浩","Jang Yong-ho",""
"우제연","旴晢延","",""
"이다연 (배우)","李多妍 (演员)","Lee Da-yeon",""
"이다영 (1996년)","李多英","Lee Da-yeong",""
"이정은 (1970년)","李姃垠","Lee Jung-eun (actress)",""
"이정식 (정치학자)","李庭植","Chong-Sik Lee",""
"이필우 (영화 감독)","李弼雨","",""
"이병훈 (1957년)","李炳勋","",""
"이향희 (작가)","李香姬","",""
"임정은","林晶恩","Im Jung-eun",""
"유기홍","柳基洪","",""
"권갑용","权甲龙","Kweon Kab-yong",""
"이런","王怡人","Wang Yiren",""
"신구 (배우)","申久","Shin Goo",""
"우태운","禹泰云","Wuno",""
"수빈 (가수)","秀彬 (1996年)","",""
"나혜석","罗蕙锡","Na Hyesŏk",""
"정혜옹주 (1584년)","贞惠翁主 (朝鲜宣祖)","",""
"조인철 (유도 선수)","赵麟彻","Cho In-chul",""
"조안 (배우)","赵安 (韩国艺人)","Jo An",""
"조재룡 (배우)","赵载龙","",""
"정선경","郑善敬","",""
"정명석","郑明析","Jung Myung-seok",""
"김규환 (1921년)","金圭焕","Kim Kyu-hwan",""
"김민수 (1992년)","金敏洙","",""
"김무성","金武星","Kim Moo-sung",""
"김태성 (작곡가)","金泰成","Kim Tae-seong (composer)",""
"김성수 (1973년)","金圣洙","Kim Sung-soo (actor)",""
"김흥기","金兴基","",""
"김건우 (2011년)","金虔右","",""
"한화수","韩和洙","Han Hwa-soo",""
"신원 (가수)","高信源","",""
"헤일로 (음악 그룹)","HALO (韩国组合)","HALO (South Korean group)",""
"마크 (1999년)","MARK (1999年)","Mark (rapper)",""
