"korean","chinese","english","gender"
"투모로우바이투게더의 음반 외 활동 목록","TXT影视作品列表","",""
"터보 (대한민국의 음악 그룹)","Turbo (韩国男子团体)","Turbo (South Korean band)",""
"을사오적","乙巳五贼","Five Eulsa Traitors",""
"전은혜 (펜싱 선수)","全恩惠","Jeon Eun-hye",""
"유재석","刘在锡","Yoo Jae-suk",""
"반공법","反共法","",""
"손호준","孙浩俊","Son Ho-jun",""
"최형두","崔炯斗","",""
"최영자 (테니스인)","崔荣子","Choi Young-ja",""
"장윤정","张允瀞","Jang Yoon-jeong (singer)",""
"혜리","惠利","Lee Hye-ri",""
"돈녕부","敦宁府","",""
"민재 (1994년)","旼宰","",""
"월산대군","月山大君","Grand Prince Wŏlsan",""
"박재규 (1944년)","朴在圭","Park Jae-kyu",""
"박영 (1887년)","朴泳","",""
"이재성 (1992년)","李在城","Lee Jae-sung",""
"이은성 (배우)","李恩诚","Lee Eun-sung",""
"이동휘 (배우)","李东辉 (演员)","Lee Dong-hwi",""
"이주승","李柱升","Lee Joo-seung",""
"이수현 (1999년)","李秀贤","Lee Su-hyun",""
"이영훈 (배우)","李英勋","Lee Yeong-hoon",""
"이용우 (배우)","李龙宇","Lee Yong-woo",""
"하명희","河明熙","",""
"숙의 이씨 (중종)","淑仪李氏 (朝鲜中宗)","",""
"유리상자","玻璃箱子","Yurisangja",""
"수빈 박씨","绥嫔朴氏","Royal Noble Consort Subin Park",""
"나성범","罗成范","Na Sung-bum",""
"채은성","蔡恩成","Chae Eun-seong",""
"조원우 (요트 선수)","赵元佑 (帆船运动员)","Cho Won-woo (windsurfer)",""
"조용형","赵容衡","Cho Yong-hyung",""
"차우진 (배우)","车宇镇","",""
"정명수","郑命寿","",""
"김원호 (배드민턴 선수)","金元浩","Kim Won-ho",""
"김희정 (1992년)","金希庭","Kim Hee-jung (actress, born 1992)",""
"김은지 (바둑 기사)","金恩持","",""
"김소현 (1999년)","金所泫","Kim So-hyun",""
"김호영 (축구인)","金浩永","Kim Ho-young (footballer)",""
"김서형","金瑞亨","Kim Seo-hyung",""
"김상순 (배우)","金相淳","",""
"김예지 (사격 선수)","金艺智 (射击运动员)","Kim Ye-ji (sport shooter)",""
"김현수 (2000년)","金贤秀","Kim Hyun-soo (actress)",""
"고요한","高约翰","Go Yo-han",""
"5·17 내란","5·17政变","Coup d'état of May Seventeenth",""
"Key (가수)","Key (歌手)","Key (entertainer)",""
"네이처 (음악 그룹)","Nature (组合)","Nature (group)",""
"스윙 엔터테인먼트","Swing娱乐","Swing Entertainment",""
"바로엔터테인먼트","VARO娱乐","",""
"구주와","丘主瓦","",""
"남윤수","南润寿","Nam Yoon-su",""
"윌셔 그랜드 센터","威尔希尔大厦","Wilshire Grand Center",""
"손준호 (축구 선수)","孙准浩","Son Jun-ho (footballer)",""
"송지효","宋智孝","Song Ji-hyo",""
"원종 (조선)","定远君","Prince Jeongwon",""
"윤신영","尹信荣","Yoon Shin-young",""
"최지훈 (야구 선수)","崔智训","",""
"종호","崔钟浩","Jongho",""
"열린우리당","开放国民党","Uri Party",""
"장택상","张泽相","Chang Taek-sang",""
