"japanese","chinese","romaji","gender"
"永峰沙織","永峰沙织","Saori Nagamine",""
"清水希容","清水希容","Kiyou Shimizu",""
"澤木啓祐","泽木启祐","Keisuke Sawaki",""
"田中和基","田中和基","Kazuki Tanaka (baseball)",""
"茶野隆行","茶野隆行","Takayuki Chano",""
"西本聖","西本圣","Takashi Nishimoto",""
"角田勝次","角田胜次","Katsuji Tsunoda",""
"路木龍次","路木龙次","Ryuji Michiki",""
"陳晋一","陈晋一","Shinichi Chan",""
"馬場典子 (サッカー選手)","马场典子","Noriko Baba",""
"高橋栄","高桥荣","Sakae Takahashi (footballer)",""
"高橋泰","高桥泰","Yutaka Takahashi",""
"中川真依","中川真依","Mai Nakagawa",""
"中本健太郎","中本健太郎","Kentaro Nakamoto",""
"佐藤英二","佐藤英二","Eiji Sato",""
"光岡眞矢","光冈真矢","Shinya Mitsuoka",""
"利部陽子","利部阳子","Yoko Kagabu",""
"北津留翼","北津留翼","Tsubasa Kitatsuru",""
"原正文","原正文","Masafumi Hara",""
"名取武","名取武","Takeshi Natori",""
"小川健太郎","小川健太郎","Kentarō Ogawa",""
"小野晋吾","小野晋吾","Shingo Ono",""
"小野泰己","小野泰己","Taiki Ono",""
"松永章","松永章","Akira Matsunaga (footballer, born 1948)",""
"栗原克志","栗原克志","Katsushi Kurihara",""
"森下申一","森下申一","Shinichi Morishita",""
"樋口黎","樋口黎","Rei Higuchi",""
"横山作次郎","横山作次郎","Yokoyama Sakujiro",""
"櫻本絢子","樱本绚子","Ayako Sakuramoto",""
"盛一大","盛一大","Kazuhiro Mori (cyclist)",""
"石井一久","石井一久","Kazuhisa Ishii",""
"福元洋平","福元洋平","Yohei Fukumoto",""
"笠原江梨香","笠原江梨香","Erika Kasahara",""
"菅井友香","菅井友香","Yūka Sugai",""
"谷中治","谷中治","Osamu Taninaka",""
"ダラス・ウイリアムズ","达拉斯·威廉斯","Dallas Williams",""
"青田昇","青田升","Noboru Aota",""
"駒澤李佳","驹泽李佳","Rika Komazawa",""
"高倉麻子","高仓麻子","Asako Takakura",""
"髙畑祐紀子","高畑祐纪子","Yukiko Takahata",""
"三上明紀","三上明纪","Akinori Mikami",""
"三浦成美","三浦成美","Narumi Miura",""
"アデイニー・エチェバリア","亚丹尼·哈查瓦瑞亚","Adeiny Hechavarría",""
"佐野達","佐野达","Toru Sano",""
"八重樫茂生","八重㭴茂生","Shigeo Yaegashi",""
"前田秀樹","前田秀树","Hideki Maeda",""
"宇佐見真吾","宇佐见真吾","Shingo Usami",""
"宮城長順","宫城长顺","Chōjun Miyagi",""
"岩崎悠人","岩崎悠人","Yuto Iwasaki",""
"木村翔","木村翔","Sho Kimura",""
"東京スポーツ","东京体育","Tokyo Sports",""
"松村宗棍","松村宗棍","Sōkon Matsumura",""
"森﨑和幸","森崎和幸","Kazuyuki Morisaki",""
"武藏山武","武藏山武","Musashiyama Takeshi",""
"江川重光","江川重光","Shigemitsu Egawa",""
"海老沼匡","海老沼匡","Masashi Ebinuma",""
"涅マユリ","涅茧利","Mayuri Kurotsuchi",""
"織田幹雄","织田干雄","Mikio Oda",""
"西村綾加","西村绫加","Ayaka Nishimura",""
"趙成珉","赵成珉","Cho Sung-min",""
"辻月丹","辻月丹","Tsuji Gettan Sukemochi",""
"偉関晴光","韦晴光","Wei Qingguang",""
"高梨沙羅","高梨沙罗","Sara Takanashi",""
"二子岳武","二子岳武","Futagodake Takeshi",""
"二宮城光","二宫城光","Jōkō Ninomiya",""
"佐久川寛賀","佐久川宽贺","Sakugawa Kanga",""
"佐々木康治","佐佐木康治","Koji Sasaki",""
"佐藤理恵","佐藤理惠","Rie Sato (softball)",""
"関根忍","关根忍","Shinobu Sekine",""
"吉川尚輝","吉川尚辉","Naoki Yoshikawa",""
"吉川峰夫","吉川峰夫","Mineo Yoshikawa",""
"土井杏南","土井杏南","Anna Doi",""
"増田誓志","增田誓志","Chikashi Masuda",""
"姜建銘","姜建铭","Chiang Chien-ming",""
"安藤美希子","安藤美希子","Mikiko Ando",""
"小野寺裕介","小野寺裕介","Yusuke Onodera",""
"岡野雅行 (サッカー選手)","冈野雅行","Masayuki Okano",""
"常ノ花寛市","常乃花宽市","Tsunenohana Kan'ichi",""
"広瀬美代子","广濑美代子","Miyoko Hirose",""
"松本育夫","松本育夫","Ikuo Matsumoto",""
"森本貴幸","森本贵幸","Takayuki Morimoto",""
"横山堅七","横山坚七","Kenshichi Yokoyama",""
"江村直也","江村直也","Naoya Emura",""
"石川研","石川研","Ken Ishikawa (footballer)",""
"石田順子","石田顺子","Junko Ishida",""
"笛真人","笛真人","Masato Fue",""
"近藤楓","近藤枫","Kaede Kondo",""
"ディー・ブラウン (野球)","迪·布朗 (棒球)","Dee Brown (baseball)",""
"鈴木尚典","铃木尚典","Takanori Suzuki",""
"亀井静香","龟井静香","Shizuka Kamei",""
"古川好男","古川好男","Yoshio Furukawa",""
"古賀紗理那","古贺纱理那","Sarina Koga",""
"大島祐哉","大岛祐哉","Yuya Oshima",""
"小野寺祥太","小野寺祥太","Shota Onodera",""
"山本貴司","山本贵司","Takashi Yamamoto (swimmer)",""
"岡本和真","冈本和真","Kazuma Okamoto",""
"川村優理","川村优理","Yuri Kawamura",""
"庭田亜樹子","庭田亚树子","Akiko Niwata",""
"日比野哲也","日比野哲也","Tetsuya Hibino",""
