"russian","chinese","gender"
"Павел Камнев","帕维尔·卡姆涅夫",""
"Павел Дыбенко","帕维尔·德边科",""
"Владимир Бурматов","弗拉基米尔·布尔马托夫",""
"Владимир Меньшов","弗拉基米尔·缅绍夫",""
"Пётр Ласси","彼得·拉西",""
"Дмитрий Жлоба","德米特里·日洛巴",""
"Дмитрий Сычёв","德米特里·瑟乔夫",""
"Эрнст Август (король Ганновера)","恩斯特·奥古斯特 (汉诺威国王)",""
"Лавр Корнилов","拉夫尔·科尔尼洛夫",""
"Станислав Кочиев","斯坦尼斯拉夫·科奇耶夫",""
"Ибрагим Самадов","易卜拉欣·萨马多夫",""
"Георгий Ковенчук","格奥尔吉·瓦西列维奇·科维丘克",""
"Вадим Шишимарин","瓦季姆·希希马林",""
"Михаил Емельянов","米哈伊尔·瓦西里耶维奇·叶梅利亚诺夫",""
"Михаил Микешин","米哈伊尔·迈克辛",""
"Авангард красной молодёжи","红色青年先锋队",""
"Вячеслав Макаров","维亚切斯拉夫·马卡罗夫",""
"Виктор Петренко","维克多·彼得连科",""
"Цзян Цзинго","蒋经国",""
"Сергей Попов","谢尔盖·亚历山德罗维奇·波波夫",""
"Сергей Михалков","谢尔盖·米哈尔科夫",""
"Ким Чен Сук","金正淑 (朝鲜)",""
"Алексей Каледин","阿列克谢·卡列金",""
"Алексей Харламов","阿列克谢·阿列维奇·哈拉莫夫",""
"Альберт Белс","阿尔贝茨·贝尔斯",""
"Анастасия Квитко","阿纳斯塔西娅·克维特科",""
"Ариф Меликов","阿里夫·梅里科夫",""
"Франческа да Римини (Чайковский)","黎密尼的法兰契斯卡",""
"Узбекистан","乌兹别克斯坦",""
"Александр Любищев","亚历山大·亚历山德罗维奇·柳比歇夫",""
"Александр Орлов","亚历山大·伊万诺维奇·奥尔洛夫",""
"Александр Керенский","亚历山大·克伦斯基",""
"Александр Бенкендорф","亚历山大·冯·本肯多夫",""
"Александр Бараев","亚历山大·巴拉耶夫",""
"Александр Слобода","亚历山大·斯洛博达",""
"Александр Волошин","亚历山大·沃洛申",""
"Александр Воробьёв","亚历山大·维克托罗维奇·沃罗比约夫",""
"Иван Абдулов","伊万·阿卜杜洛夫",""
"Илья Смирин","伊利亚·斯米林",""
"Илья Одишелидзе","伊利亚·祖拉博维奇",""
"Ирина Шейк","伊莉娜·沙伊克",""
"Галина Данчикова","加林娜·丹奇科娃",""
"Богумир Ломский","博胡米尔·洛姆斯基",""
"Карл Август Саксен-Веймар-Эйзенахский (1844—1894)","卡尔·奥古斯特 (萨克森-魏玛-艾森纳赫大公世子)",""
"Евгений Чазов","叶夫根尼·恰佐夫",""
"Евгений Алексеевский","叶夫根尼·阿列克谢耶夫斯基",""
"Егор Летов","叶戈尔·列托夫",""
"Кирилл Серебренников","基里尔·赛勒布伦尼科夫",""
"Олег Богомолов","奥列格·博戈莫洛夫",""
"Мстислав Келдыш","姆斯季斯拉夫·克尔德什",""
"Андрей Аникеев","安德烈·阿尼克耶夫",""
"Антон Швец","安东·施瓦茨",""
"Юрий Кузнецов","尤里·瓦西里耶维奇·库兹涅佐夫",""
"Николай Петрунин","尼古拉·彼得鲁宁",""
"Константин Николаев","康斯坦丁·尼古拉耶夫",""
"Константин Затулин","康斯坦丁·扎图林",""
"Владимир Юмин","弗拉基米尔·尤明",""
"Дмитрий Мезенцев","德米特里·梅津采夫",""
"Дмитрий Аносов","德米特里·阿诺索夫",""
"Полина Гагарина","波琳娜·加加林娜",""
"Василий Ванин","瓦西里·瓦宁",""
"Магомед Селимханов","穆罕默德·谢利姆哈诺夫",""
"Михаил Ковалёв","米哈伊尔·科瓦廖夫",""
"Михаил Глинский","米哈伊尔·格林斯基",""
"Виктор Вексельберг","维克托·韦克谢利伯格",""
"Вели Ахундов","维利·阿洪多夫",""
"Модест Мусоргский","莫杰斯特·穆索尔斯基",""
"Евгений Бауэр","叶甫盖尼·鲍尔",""
